hgnc_id,gene,pubmed_hits,pubmed_query,as_of
HGNC:2460,CSNK2B,66,"(""CSNK2B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2481,CSTA,84,"(""CSTA""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2482,CSTB,152,"(""CSTB""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2510,CTNNA2,68,"(""CTNNA2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2529,CTSD,451,"(""CTSD""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2531,CTSF,53,"(""CTSF""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28005,CTU2,15,"(""CTU2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2553,CUL3,609,"(""CUL3""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2555,CUL4B,203,"(""CUL4B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:19347,CUX2,59,"(""CUX2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:25613,CWF19L1,15,"(""CWF19L1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13760,CYFIP2,79,"(""CYFIP2""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2605,CYP27A1,547,"(""CYP27A1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:28358,D2HGDH,41,"(""D2HGDH""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2666,DAG1,66,"(""DAG1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2698,DBT,2415,"(""DBT""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13681,DCHS1,42,"(""DCHS1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2714,DCX,583,"(""DCX""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2719,DDC,1649,"(""DDC""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:13917,DDX39B,55,"(""DDX39B""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:2745,DDX3X,399,"(""DDX3X""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:20083,DDX53,24,"(""DDX53""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
HGNC:14677,DEAF1,88,"(""DEAF1""[Title/Abstract]) AND (humans[MeSH Terms])",2026-07
