gene,platform,registry_name,registry_url,platform_basis,notes,platform_url
MEF2C,Sanford CoRDS,,,platform description,recorded under: MEF2C haploinsufficiency syndrome,https://research.sanfordhealth.org/rare-disease-registry
PCDH19,Foundation-hosted,PCDH19 Alliance registry / NH partnership,https://pcdh19info.org/resources/lacy-smith-ms-cgc-nilika-singhal-md-pcdh19-registry-looking-back-on-ten-years/,own website,,
PCDH19,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
PCDH19,Sanford CoRDS,,,platform description,registered under an umbrella entry,https://research.sanfordhealth.org/rare-disease-registry
POLG,NIH RDCRN,"NAMDC (North American Mitochondrial Disease Consortium) registry; NAMDC, North American Mitochondrial Disease Consortium",https://rarediseasesnetwork.org/cms/namdc,registry URL host,,https://www.rarediseasesnetwork.org/
POLG,REDCap,"UK MitoCohort, Newcastle",,platform description,,
POLG,Sanford CoRDS,,,platform description,recorded under: Alpers-Huttenlocher syndrome; multiple POLG entries,https://research.sanfordhealth.org/rare-disease-registry
PPP2R5D,Foundation-hosted,Jordans Guardian Angels,,platform description,,
PPP2R5D,REDCap,Columbia/Wendy Chung NH,,platform description,,
PPP2R5D,Sanford CoRDS,,,platform description,recorded under: PPP2R5D-related neurodevelopmental disorder,https://research.sanfordhealth.org/rare-disease-registry
PURA,Foundation-hosted,PURA Syndrome Foundation registry; Helmholtz Munich partnership,https://purasyndrome.org/research/patient-registry/,own website,,
PURA,Sanford CoRDS,,,platform description,recorded under: PURA-related severe neonatal-onset neurodevelopmental disorder,https://research.sanfordhealth.org/rare-disease-registry
SATB2,Foundation-hosted,SATB2 Gene Foundation registry,,platform description,,
SATB2,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SATB2,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
SATB2,Sanford CoRDS,,,platform description,recorded under: SATB2-associated syndrome,https://research.sanfordhealth.org/rare-disease-registry
SCN1A,Foundation-hosted,Dravet Syndrome International Patient Registry,https://dravetfoundation.org/research/for-patients-families/registry-natural-history-studies/,own website,,
SCN1A,ClinicalTrials.gov,"Stoke BUTTERFLY, Encoded ENVISION",,platform description,,
SCN1A,COMBINEDBrain,,,platform description,,https://combinedbrain.org/
SCN1A,Simons Searchlight,SFARI Base,,platform description,,https://www.simonssearchlight.org/
