# One row per (organisation, gene) from the organisation sources, deduplicated on normalised website host.
# status=candidate throughout: nothing here has been reviewed, and curated/organizations.csv is untouched.
org_name,symbol,hgnc_id,url,country,org_type,registry_platform,coalitions,source_files,status
Comunidad Simons Searchlight,FBXO11,HGNC:13590,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Connecting Families Urea Cycle Disorders Foundation,CPS1,HGNC:2323,https://ucdfamily.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
"Cornelia de Lange Syndrome Foundation, Inc.",HDAC8,HGNC:13315,,,,,,sources/ren_members/ren_members.csv,candidate
"Cornelia de Lange Syndrome Foundation, Inc.",NIPBL,HGNC:28862,,,,,,sources/ren_members/ren_members.csv,candidate
"Cornelia de Lange Syndrome Foundation, Inc.",RAD21,HGNC:9811,,,,,,sources/ren_members/ren_members.csv,candidate
"Cornelia de Lange Syndrome Foundation, Inc.",SMC1A,HGNC:11111,,,,,,sources/ren_members/ren_members.csv,candidate
"Cornelia de Lange Syndrome Foundation, Inc.",SMC3,HGNC:2468,,,,,,sources/ren_members/ren_members.csv,candidate
Costello Kids,HRAS,HGNC:5173,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Costello Syndrome Family Network (CSFN),HRAS,HGNC:5173,,,family group,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Cure AHC,ATP1A3,HGNC:801,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv;sources/ren_members/ren_members.csv,candidate
Cure AHC (US),ATP1A3,HGNC:801,https://ahckids.org,,foundation,REDCap,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Cure CLCN4,CLCN4,HGNC:2022,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Cure CLCN6,CLCN6,HGNC:2024,,,,,,sources/ren_members/ren_members.csv,candidate
Cure CMD,LAMA2,HGNC:6482,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Cure CMT4J/ Talia Duff Foundation,CMT4J,,http://www.curecmt4j.org/,United States of America,foundation,,,everycure_rdnp.csv,candidate
Cure DHDDS,DHDDS,HGNC:20603,,,,,,sources/ren_members/ren_members.csv,candidate
Cure DHDDS,DHDDS,HGNC:20603,https://www.curedhdds.org,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Cure DHDDS USA,DHDDS,HGNC:20603,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv;sources/ren_members/ren_members.csv,candidate
Cure GABA A Variants,GABRB2,HGNC:4082,,,foundation,,,sources/epilepsylive_orgs/epilepsylive_orgs.csv,candidate
Cure GABA-A,GABRA1,HGNC:4075,,,,,,sources/ren_members/ren_members.csv,candidate
Cure GABA-A,GABRB2,HGNC:4082,,,,,,sources/ren_members/ren_members.csv,candidate
