source_id,symbol_in_source,hgnc_id_in_source,evidence,phenotype,extra,hgnc_id,resolved_by
panelapp_au_epilepsy,TRIO,HGNC:12303,Green,"Intellectual developmental disorder, autosomal dominant 44, with microcephaly MIM#617061; Intellectual developmental disorder, autosomal dominant 63, with macrocephaly MIM#618825","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12303,id
panelapp_au_epilepsy,TRIP12,HGNC:12306,Amber,"Intellectual developmental disorder, autosomal dominant 49	MIM#617752","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12306,id
panelapp_au_epilepsy,TRIP13,HGNC:12307,Amber,"Mosaic variegated aneuploidy syndrome 3, MIM# 617598","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12307,id
panelapp_au_epilepsy,TRIT1,HGNC:20286,Green,Combined oxidative phosphorylation deficiency 35 MIM#617873,"{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:20286,id
panelapp_au_epilepsy,TRMT1,HGNC:25980,Green,"Intellectual developmental disorder, autosomal recessive 68	MIM#618302","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:25980,id
panelapp_au_epilepsy,TRMT10A,HGNC:28403,Green,"Microcephaly, short stature, and impaired glucose metabolism 1, MIM# 616033","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:28403,id
panelapp_au_epilepsy,TRPC3,HGNC:12335,Red,?Spinocerebellar ataxia 41 - 616410,"{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12335,id
panelapp_au_epilepsy,TRPM3,HGNC:17992,Green,"Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skeletal anomalies, with or without seizures, MIM# 620224","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17992,id
panelapp_au_epilepsy,TRPM6,HGNC:17995,Green,"Hypomagnesemia 1, intestinal, MIM#602014","{""moi"": ""BIALLELIC, autosomal or pseudoautosomal"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17995,id
panelapp_au_epilepsy,TRPM7,HGNC:17994,Green,"Familial primary hypomagnesaemia, MONDO:0018100, TRPM7-related","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:17994,id
panelapp_au_epilepsy,TRRAP,HGNC:12347,Green,"Developmental delay with or without dysmorphic facies and autism, MIM#618454","{""moi"": ""MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted"", ""panel"": ""Genetic Epilepsy"", ""panel_version"": ""2.39""}",HGNC:12347,id
