hgnc_id,symbol,tier,domain,sources
HGNC:10582,SCN10A,T1,ndd_with_epilepsy,clingen;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;sysndd
HGNC:10583,SCN11A,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id
HGNC:10591,SCN4A,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id;sfari
HGNC:10603,SCO1,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10604,SCO2,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:10606,SCP2,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;sfari;sysndd
HGNC:13655,SCUBE3,T1,ndd_no_documented_epilepsy,g2p_dd;sysndd
HGNC:14372,SCYL1,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes;panelapp_ge_id;sysndd
HGNC:19286,SCYL2,T1,ndd_with_epilepsy,orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;sysndd
HGNC:10671,SDCCAG8,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10680,SDHA,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:33867,SDHAF1,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10681,SDHB,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;sysndd
HGNC:10683,SDHD,T1,ndd_no_documented_epilepsy,clingen;orphadata_genes;sysndd
HGNC:10702,SEC23B,T1,ndd_no_documented_epilepsy,clingen;g2p_dd;orphadata_genes;panelapp_ge_id
HGNC:10706,SEC24D,T1,ndd_with_epilepsy,g2p_dd;orphadata_genes;panelapp_ge_epilepsy;sysndd
HGNC:17052,SEC31A,T1,ndd_with_epilepsy,panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:30972,SECISBP2,T1,ndd_with_epilepsy,g2p_dd;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;sysndd
HGNC:10717,SEL1L,T1,ndd_no_documented_epilepsy,panelapp_au_id;panelapp_ge_id;sysndd
HGNC:29361,SELENOI,T1,ndd_with_epilepsy,g2p_dd;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:10723,SEMA3A,T1,ndd_no_documented_epilepsy,g2p_dd;orphadata_genes
HGNC:10739,SEMA6B,T1,ndd_with_epilepsy,clingen;g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
HGNC:30402,SENP7,T1,ndd_no_documented_epilepsy,sysndd
HGNC:19685,SEPHS1,T1,ndd_no_documented_epilepsy,g2p_dd;panelapp_au_id;panelapp_ge_id;sysndd
HGNC:30605,SEPSECS,T1,ndd_with_epilepsy,g2p_dd;genes4epilepsy;orphadata_genes;panelapp_au_epilepsy;panelapp_au_id;panelapp_ge_epilepsy;panelapp_ge_id;sysndd
